TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,활동소비내역중복여부,숙박소비내역중복여부
e_e003039,1박2일에 필요한 각종 음료,0,1,,이미트 별내점,순화궁로167,,,,,1,160000,,4136011100,0,0
e_e003080,와인,0,1,,마우로아,능동로 320  101호 마우로아,,,,,3,35000,,1121510100,0,0
e_e003095,워터파크이용권,0,4,,(주)야놀자,테헤란로 108길 42,,,,,1,68000,,1168010100,0,0
e_e003097,500ml 물 2병(보리차;옥수수차),0,2,,GS25용인명지대점,명지로116번길 8,,,,,1,2000,,4146110400,0,0
e_e003102,숙박예약(더블트리호텔),0,2,,더블트리힐튼호텔,정자동4,,,,,1,264650,,4113510300,0,0
e_e003103,고기 음료수 과자 커피 아이스크림 라면,1,4,2982201030,순수한우,경남 양산시 중앙로 232,경남 양산시 북부동 148-19,3338098,4833010400,6/16/23 11:17,1,13000,,,0,0
e_e003103,고기 음료수 과자 커피 아이스크림 라면,2,4,5858100330,(주)한국유통마트,경기 고양시 일산서구 경의로 957,,3012061,4128710500,6/15/23 16:31,1,54800,해태)누가바;삼강테트리스바;초코퍼지;쿠앤크바;탱글리치바,,0,0
e_e003115,첫째날 저녁식사거리 음료,1,3,6128223118,안산농협 연꽃 로컬푸드,경기 시흥시 동서로 770,,3199013,4139012200,6/24/23 14:08,1,39760,햇반;비비고 육개장;청정원 순창쌈장;로스팅 잠뽕 홍게;코카콜라제로,,0,0
e_e003138,커피,1,1,1833001072,팔공티,서울 강서구 화곡로34길 23,서울 강서구 화곡동 61-9,4145517,1150010300,7/1/23 12:56,1,1500,I)아메리카노(기본) ,,0,0
e_e003162,공연 입장권,0,1,,인터파크 티켓,10 서울종합운동장,,,,,5,204200,,1171010100,0,0
e_e003175,바베큐 재료들,1,1,1208800767,(주)쿠팡,서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,6/26/23 0:00,1,52890,곰곰 국내산 아스파라거스;곰곰 모짜렐라 피자치즈;국내산 백오이;국내산 무;친환경 새송이버섯,,0,0
e_e003184,캠프파이어 장작,0,2,,고릴라캠핑,272-2,,,,,1,8000,,4139010500,0,0
e_e003190,바베큐장 예약,0,2,,행복한캠핑바베큐본점,장암리204-7,,,,,5,20000,,4165038000,0,0
e_e003196,수영복,1,1,4118601799,토스페이먼츠 주식회사,서울 강남구 테헤란로 131,서울 강남구 역삼동 647-9,3122010,1168010100,6/12/23 0:56,3,23647,,,0,0
e_e003198,아이스박스; 냉동 젤,0,1,,다이소 개봉,다이소 개봉역점,,,,,1,6000,,1153010700,0,0
e_e003210,바베큐 대여료,1,2,,,,,,,6/22/23 21:24,3,30000,바베큐 장비 대여,,0,0
e_e003212,갈바니아 유기농탄산음료,1,1,1268642500,(주)서경,경기 하남시 하남대로195번길 12,,4406253,4145010500,6/7/23 17:19,1,33900,갈바니나 유기농 탄산음료6종 내맘대로 믹스팩,,0,0
e_e003235,식재료 및 간식,1,5,5328502123,(주)샤인유통,인천 부평구 방축로 429,인천 부평구 십정동 558-29,3150035,2823710200,6/30/23 20:43,1,54050,청정원 참훈고소;대파(국내산);CJ)햇반박스;코카)콜라;농심 파워오투,,0,0
e_e003269,고기 아채 소세지,1,8,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,6/17/23 21:48,1,87050,곰곰쌈무;캠프렌즈 비바크부어스소시지;공공 친환경 적상추+청상추+깻잎;도드람한돈1등급삼겹살구이용(냉장),,0,0
e_e003271,딥스테이션 입장권,0,1,,딥스테이션,523,,,,,5,66000,,4146125000,0,0
e_e003279,선풍기,0,1,,다이소,올림픽로 74,,,,,1,5000,,1171010200,0,0
e_e003289,오버워치 리그 관람권,0,2,,오버위치 리그 관람권,경기 고양시 일산서구 킨텍스로 217-59 (우)10390  지번: 대화동 2700,,,,,1,40000,,4128710400,0,0
e_e003291,ITX 승차권,1,2,3148210024,한국철도공사 ,대전 동구 중앙로 240,,3164033,3011011300,7/7/23 14:05,1,5700,기차표,,0,0
e_e003291,ITX 승차권,3,2,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,6/14/23 9:25,1,5700,기차표,,0,0
e_e003300,손선풍기,0,1,,JAJU 신세계백화점대구점,1506-2,,,,,1,20000,,2714010200,0,0
